nsta_rank,nsta_pipeline_number,pipeline_name,fluid,nsta_status,length_km,pipe_grade,smys_mpa,design_factor,pressure_basis,max_operating_pressure_barg,inner_diameter_mm,reported_wall_thickness_mm,review_margin_fraction,pressure_mpa_for_check,outer_diameter_mm,barlow_min_wall_mm,pressure_margin_mm,pressure_margin_fraction,pressure_utilization_fraction,status,notes
88,PL3081JMDC1,STELLA MDC TO WELL A1Z (SCP1) GAS LIFT LINE,MIXED HYDROCARBONS,ACTIVE,0.083,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,421.0,50.8,14.3,0.2,42.201325,79.4,5.62469,8.67531,0.606665,0.393335,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
89,PL3444,West Production Jumper B (10in) from Manifold M125 to Manifold M24,MIXED HYDROCARBONS,ACTIVE,3.646,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,257.0,188.0,16.7,0.2,25.801325,221.4,9.588962,7.111038,0.425811,0.574189,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
90,PL2204,W127 to W123 6in Production Line,MIXED HYDROCARBONS,ACTIVE,10.073,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,215.0,152.4,27.85,0.2,21.601325,208.1,7.545786,20.304214,0.729056,0.270944,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
91,PL3168,PL3168 - GEAD NORTHERN DRILL CENTRE MANIFOLD TO GEAD NORTH FIELD SSIV,MIXED HYDROCARBONS,ACTIVE,5.866146,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,175.0,200.0,9.5,0.2,17.601325,219.0,6.470554,3.029446,0.318889,0.681111,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
92,PL1891(J)P1,"AXS TO WELL P1 6"" PRODUCTION SPOOL",MIXED HYDROCARBONS,ACTIVE,0.055,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,320.0,137.9,15.2,0.2,32.101325,168.3,9.068993,6.131007,0.403356,0.596644,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
93,PL1891(J)P2,"AXS TO WELL P2 6"" PRODUCTION SPOOL",MIXED HYDROCARBONS,ACTIVE,0.04,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,320.0,137.9,15.2,0.2,32.101325,168.3,9.068993,6.131007,0.403356,0.596644,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
94,PL1891(J)P4,"AXS TO WELL P4 6"" PRODUCTION SPOOL",MIXED HYDROCARBONS,ACTIVE,0.04,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,320.0,137.9,15.2,0.2,32.101325,168.3,9.068993,6.131007,0.403356,0.596644,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
95,PL1891(J)P6,"AXS TO WELL P6 6"" PRODUCTION SPOOL",MIXED HYDROCARBONS,ACTIVE,0.062,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,320.0,137.9,15.2,0.2,32.101325,168.3,9.068993,6.131007,0.403356,0.596644,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
96,PL1891(J)P3,"AXS TO WELL P3 6"" PRODUCTION SPOOL",MIXED HYDROCARBONS,ACTIVE,0.033,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,320.0,137.9,15.2,0.2,32.101325,168.3,9.068993,6.131007,0.403356,0.596644,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
97,PL1891(J)P5,"AXS TO WELL P5 6"" PRODUCTION SPOOL",MIXED HYDROCARBONS,ACTIVE,0.062,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,320.0,137.9,15.2,0.2,32.101325,168.3,9.068993,6.131007,0.403356,0.596644,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
98,PL3294,Central Gas Jumper from Manifold M1J to Manifold M1C,GAS,ACTIVE,14.458,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,257.0,146.36,10.97,0.2,25.801325,168.3,7.289171,3.680829,0.335536,0.664464,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
99,PL2203,W126 to Machar Production Manifold 6in Production Line,MIXED HYDROCARBONS,ACTIVE,0.086,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,215.0,247.7,12.7,0.2,21.601325,273.1,9.90271,2.79729,0.220259,0.779741,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
100,PL2201,W124 to Machar Production Manifold 6in Production Line,MIXED HYDROCARBONS,ACTIVE,0.051,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,215.0,248.5,12.3,0.2,21.601325,273.1,9.90271,2.39729,0.194902,0.805098,review_required,"Positive pressure margin, but below the screening review threshold of 20% of reported wall thickness."
101,PL1357JW122,W122 to Machar Production Manifold 6in Production Line,MIXED HYDROCARBONS,ACTIVE,0.057,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,215.0,248.5,12.3,0.2,21.601325,273.1,9.90271,2.39729,0.194902,0.805098,review_required,"Positive pressure margin, but below the screening review threshold of 20% of reported wall thickness."
102,PL2245,FPSO - 10in Production Flowline - 10in Flowline L122,MIXED HYDROCARBONS,NOT IN USE,1.327,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,257.0,142.9,12.7,0.2,25.801325,168.3,7.289171,5.410829,0.42605,0.57395,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
103,PL3168,PL3168 - GEAD NORTH FIELD SSIV TO GEAD WELL HEAD PLATFORM,MIXED HYDROCARBONS,ACTIVE,0.300666,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,175.0,200.0,9.5,0.2,17.601325,219.0,6.470554,3.029446,0.318889,0.681111,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
